METHOD,URI,NAME,ACTION
GET,_debugbar/open,debugbar.openhandler,"Barryvdh\Debugbar\Controllers\OpenHandlerController@handle"
GET,_debugbar/clockwork/{id},debugbar.clockwork,"Barryvdh\Debugbar\Controllers\OpenHandlerController@clockwork"
GET,_debugbar/assets/stylesheets,debugbar.assets.css,"Barryvdh\Debugbar\Controllers\AssetController@css"
GET,_debugbar/assets/javascript,debugbar.assets.js,"Barryvdh\Debugbar\Controllers\AssetController@js"
DELETE,_debugbar/cache/{key}/{tags?},debugbar.cache.delete,"Barryvdh\Debugbar\Controllers\CacheController@delete"
GET,api/user,,Closure
GET,/,public.landing,"App\Http\Controllers\HomeController@index"
GET,activiteiten,public.activiteiten.index,"App\Http\Controllers\ActivityController@index"
GET,activiteiten/{activiteit},public.activiteiten.show,"App\Http\Controllers\ActivityController@show"
GET,partners,public.partners.index,"App\Http\Controllers\PartnerController@index"
GET,partners/{partner},public.partners.show,"App\Http\Controllers\PartnerController@show"
GET,nieuws,public.nieuws.index,"App\Http\Controllers\NewsController@index"
GET,nieuws/{nieuws},public.nieuws.show,"App\Http\Controllers\NewsController@show"
GET,fotos,public.fotos.index,"App\Http\Controllers\PhotoController@index"
GET,fotos/{foto},public.fotos.show,"App\Http\Controllers\PhotoController@show"
GET,fotos/albums,public.albums.index,"App\Http\Controllers\AlbumController@index"
GET,fotos/albums/{album},public.albums.show,"App\Http\Controllers\AlbumController@show"
GET,fotos/albums/{album}/{foto},public.fotos.show,"App\Http\Controllers\PhotoController@show"
GET,contact,public.berichten.create,"App\Http\Controllers\MessageController@create"
POST,contact,public.berichten.store,"App\Http\Controllers\MessageController@store"
GET,login,public.auth.login,"App\Http\Controllers\AuthController@login"
POST,login,public.auth.authenticate,"App\Http\Controllers\AuthController@authenticate"
GET,logout,public.auth.logout,"App\Http\Controllers\AuthController@logout"
GET,/,admin.dashboard,"App\Http\Controllers\Admin\AdminController@index"
GET,activiteiten,admin.activiteiten.index,"App\Http\Controllers\Admin\ActivityController@index"
GET,activiteiten/nieuw,admin.activiteiten.create,"App\Http\Controllers\Admin\ActivityController@create"
POST,activiteiten,admin.activiteiten.store,"App\Http\Controllers\Admin\ActivityController@store"
GET,activiteiten/{activiteit},admin.activiteiten.show,"App\Http\Controllers\Admin\ActivityController@show"
GET,activiteiten/{activiteit}/bewerken,admin.activiteiten.edit,"App\Http\Controllers\Admin\ActivityController@edit"
PUT,activiteiten/{activiteit},admin.activiteiten.update,"App\Http\Controllers\Admin\ActivityController@update"
DELETE,activiteiten/{activiteit},admin.activiteiten.destroy,"App\Http\Controllers\Admin\ActivityController@destroy"
GET,partners,admin.partners.index,"App\Http\Controllers\Admin\PartnerController@index"
GET,partners/nieuw,admin.partners.create,"App\Http\Controllers\Admin\PartnerController@create"
POST,partners,admin.partners.store,"App\Http\Controllers\Admin\PartnerController@store"
GET,partners/{partner},admin.partners.show,"App\Http\Controllers\Admin\PartnerController@show"
GET,partners/{partner}/bewerken,admin.partners.edit,"App\Http\Controllers\Admin\PartnerController@edit"
PUT,partners/{partner},admin.partners.update,"App\Http\Controllers\Admin\PartnerController@update"
DELETE,partners/{partner},admin.partners.destroy,"App\Http\Controllers\Admin\PartnerController@destroy"
GET,nieuws,admin.nieuws.index,"App\Http\Controllers\Admin\NewsController@index"
GET,nieuws/nieuw,admin.nieuws.create,"App\Http\Controllers\Admin\NewsController@create"
POST,nieuws,admin.nieuws.store,"App\Http\Controllers\Admin\NewsController@store"
GET,nieuws/{nieuw},admin.nieuws.show,"App\Http\Controllers\Admin\NewsController@show"
GET,nieuws/{nieuw}/bewerken,admin.nieuws.edit,"App\Http\Controllers\Admin\NewsController@edit"
PUT,nieuws/{nieuw},admin.nieuws.update,"App\Http\Controllers\Admin\NewsController@update"
DELETE,nieuws/{nieuw},admin.nieuws.destroy,"App\Http\Controllers\Admin\NewsController@destroy"
GET,berichten,admin.berichten.index,"App\Http\Controllers\Admin\MessageController@index"
GET,berichten/nieuw,admin.berichten.create,"App\Http\Controllers\Admin\MessageController@create"
POST,berichten,admin.berichten.store,"App\Http\Controllers\Admin\MessageController@store"
GET,berichten/{bericht},admin.berichten.show,"App\Http\Controllers\Admin\MessageController@show"
GET,berichten/{bericht}/bewerken,admin.berichten.edit,"App\Http\Controllers\Admin\MessageController@edit"
PUT,berichten/{bericht},admin.berichten.update,"App\Http\Controllers\Admin\MessageController@update"
DELETE,berichten/{bericht},admin.berichten.destroy,"App\Http\Controllers\Admin\MessageController@destroy"
GET,teksten,admin.teksten.index,"App\Http\Controllers\Admin\TextController@index"
GET,teksten/nieuw,admin.teksten.create,"App\Http\Controllers\Admin\TextController@create"
POST,teksten,admin.teksten.store,"App\Http\Controllers\Admin\TextController@store"
GET,teksten/{tekst},admin.teksten.show,"App\Http\Controllers\Admin\TextController@show"
GET,teksten/{tekst}/bewerken,admin.teksten.edit,"App\Http\Controllers\Admin\TextController@edit"
PUT,teksten/{tekst},admin.teksten.update,"App\Http\Controllers\Admin\TextController@update"
DELETE,teksten/{tekst},admin.teksten.destroy,"App\Http\Controllers\Admin\TextController@destroy"
GET,albums,admin.albums.index,"App\Http\Controllers\Admin\AlbumController@index"
GET,albums/nieuw,admin.albums.create,"App\Http\Controllers\Admin\AlbumController@create"
POST,albums,admin.albums.store,"App\Http\Controllers\Admin\AlbumController@store"
GET,albums/{album},admin.albums.show,"App\Http\Controllers\Admin\AlbumController@show"
GET,albums/{album}/bewerken,admin.albums.edit,"App\Http\Controllers\Admin\AlbumController@edit"
PUT,albums/{album},admin.albums.update,"App\Http\Controllers\Admin\AlbumController@update"
DELETE,albums/{album},admin.albums.destroy,"App\Http\Controllers\Admin\AlbumController@destroy"
GET,gebruikers,admin.gebruikers.index,"App\Http\Controllers\Admin\UserController@index"
GET,gebruikers/nieuw,admin.gebruikers.create,"App\Http\Controllers\Admin\UserController@create"
POST,gebruikers,admin.gebruikers.store,"App\Http\Controllers\Admin\UserController@store"
GET,gebruikers/{gebruiker},admin.gebruikers.show,"App\Http\Controllers\Admin\UserController@show"
GET,gebruikers/{gebruiker}/bewerken,admin.gebruikers.edit,"App\Http\Controllers\Admin\UserController@edit"
PUT,gebruikers/{gebruiker},admin.gebruikers.update,"App\Http\Controllers\Admin\UserController@update"
DELETE,gebruikers/{gebruiker},admin.gebruikers.destroy,"App\Http\Controllers\Admin\UserController@destroy"
PATCH,albums/{album}/koppel/{foto},admin.album.attach,"App\Http\Controllers\Admin\AlbumController@attach"
PATCH,albums/{album}/ontkoppel/{foto},admin.album.detach,"App\Http\Controllers\Admin\AlbumController@detach"
GET,fotos,admin.fotos.index,"App\Http\Controllers\Admin\PhotoController@index"
GET,fotos/nieuw,admin.fotos.create,"App\Http\Controllers\Admin\PhotoController@create"
POST,fotos,admin.fotos.store,"App\Http\Controllers\Admin\PhotoController@store"
GET,fotos/{foto},admin.fotos.show,"App\Http\Controllers\Admin\PhotoController@show"
GET,fotos/{foto}/bewerken,admin.fotos.edit,"App\Http\Controllers\Admin\PhotoController@edit"
PUT,fotos/{foto},admin.fotos.update,"App\Http\Controllers\Admin\PhotoController@update"
DELETE,fotos/{foto},admin.fotos.destroy,"App\Http\Controllers\Admin\PhotoController@destroy"
GET,logboeken,admin.log.index,"App\Http\Controllers\Admin\LogController@index"
GET,logboeken/{log},admin.log.show,"App\Http\Controllers\Admin\LogController@show"
GET,r,,Closure
